buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
신도림테크노마트,152-03005,서울특별시 구로구 새말로 97 (구로동),Y,2016.11.18,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03200,서울특별시 구로구 새말로 97 (구로동),Y,2016.9.11,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-02992,서울특별시 구로구 새말로 97 (구로동),Y,2015.12.29,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03181,서울특별시 구로구 새말로 97 (구로동),Y,2014.9.21,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03183,서울특별시 구로구 새말로 97 (구로동),Y,2014.11.3,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03208,서울특별시 구로구 새말로 97 (구로동),Y,2014.12.18,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03209,서울특별시 구로구 새말로 97 (구로동),Y,2014.11.26,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03181,서울특별시 구로구 새말로 97 (구로동),Y,2014.10.24,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03197,서울특별시 구로구 새말로 97 (구로동),Y,2014.10.4,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03197,서울특별시 구로구 새말로 97 (구로동),Y,2014.12.28,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03181,서울특별시 구로구 새말로 97 (구로동),Y,2014.12.10,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03188,서울특별시 구로구 새말로 97 (구로동),Y,2014.10.24,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03197,서울특별시 구로구 새말로 97 (구로동),Y,2014.11.19,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03188,서울특별시 구로구 새말로 97 (구로동),Y,2010.10.28,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03005,서울특별시 구로구 새말로 97 (구로동),Y,2012.3.27,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-02990,서울특별시 구로구 새말로 97 (구로동),Y,2013.11.7,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03190,서울특별시 구로구 새말로 97 (구로동),Y,2014.2.13,,서울특별시,구로구,새말로,,,,,,,,
신도림테크노마트,152-03208,서울특별시 구로구 새말로 97 (구로동),Y,2010.2.26,,서울특별시,구로구,새말로,,,,,,,,
